DEPTH,Gamma Ray (GR),Deep Resisitivity (RT),Medium Resistivity (RM),Shallow Resistivity (RS),Density (RHOB),Neutron Porosity (NPHI),Total Porosity (PHIT),Effective Porosity (PHIE),Clay Volume (VCL),Permeability (Perm),Water Saturation (SW),Labels
2466.594,52.5341,2.6282,2.3343,2.5412,2.5393,0.3054,0.1465,0.1037,0.4773,0.0668,1.0,0
2466.8988,58.1861,2.21,1.8699,1.611,2.5103,0.345,0.1497,0.0849,0.554,0.0128,1.0,1
2467.0512,56.889,1.282,1.1821,1.0166,2.4711,0.3086,0.1585,0.0938,0.5457,0.0207,1.0,1
2467.6608,55.7984,1.7385,1.6688,1.5044,2.4701,0.3351,0.1844,0.1566,0.43,0.5626,1.0,0
2467.8132,62.6241,2.0913,1.9724,1.686,2.4871,0.3422,0.1596,0.0768,0.6327,0.0035,1.0,1
2467.9656,66.7965,2.1487,2.0294,1.8673,2.4909,0.3557,0.1612,0.0693,0.6818,0.0013,1.0,1
2468.118,67.3693,2.1418,2.2199,2.0393,2.4928,0.3562,0.1605,0.0729,0.658,0.0021,1.0,1
2468.2704,66.6359,2.2746,2.2611,2.1506,2.4947,0.3347,0.1543,0.064,0.6818,0.001,1.0,1
2468.4228,64.5085,2.5129,2.3342,2.2611,2.4964,0.3154,0.1487,0.0661,0.6444,0.0017,1.0,1
2468.5752,61.0002,2.5983,2.3436,1.9268,2.4801,0.3178,0.1567,0.09,0.5561,0.0156,1.0,0
2468.7276,56.9151,2.1474,1.9505,1.3689,2.4383,0.3009,0.1858,0.1343,0.4827,0.1698,1.0,0
2469.7944,58.7291,1.3294,1.3919,1.2844,2.4283,0.2688,0.168,0.0847,0.6251,0.0056,1.0,0
2469.9468,64.7373,1.8168,1.7728,1.6959,2.4673,0.2872,0.1548,0.0691,0.6548,0.0018,1.0,1
2470.0992,61.0125,1.9072,1.8154,1.6848,2.4751,0.3025,0.1551,0.0809,0.5929,0.0068,1.0,1
2470.2516,58.8209,1.7602,1.6024,1.4773,2.4612,0.2864,0.1718,0.1283,0.4689,0.1666,1.0,0
2470.404,58.5083,1.6874,1.572,1.3768,2.4454,0.2905,0.1795,0.1243,0.4967,0.1072,1.0,0
2470.5564,58.8497,1.3896,1.3187,1.1136,2.4205,0.2921,0.1773,0.1053,0.562,0.0267,1.0,0
2470.7088,55.9481,1.0076,0.9756,0.8318,2.3906,0.2809,0.1985,0.1437,0.4857,0.2126,1.0,0
2471.166,55.4399,1.1479,0.9473,1.0171,2.3953,0.2886,0.1991,0.1443,0.4857,0.216,1.0,0
2471.3184,57.4754,1.1479,1.055,1.0171,2.4106,0.2912,0.1816,0.1226,0.5078,0.0895,1.0,0
2471.4708,55.2495,1.1479,1.1627,1.0171,2.4036,0.2937,0.1854,0.1242,0.5132,0.0883,1.0,0
2471.928,54.4585,1.1479,1.4856,1.0171,2.4122,0.3014,0.1965,0.1519,0.4633,0.3408,1.0,0
